---- Page: "AC Sweep"
---- Graph: "AC Sweep"
---- Left Axis: LOGARITHMIC "Magnitude"
---- Bottom Axis: LOGARITHMIC "Frequency (Hz)"
---- Trace: 1 LEFT BOTTOM "V(5)"
1.000000000000e+003	8.438272530354e-001
1.258925411794e+003	8.438638186471e-001
1.584893192461e+003	8.439217340269e-001
1.995262314969e+003	8.440134303717e-001
2.511886431510e+003	8.441585252823e-001
3.162277660168e+003	8.443878993088e-001
3.981071705535e+003	8.447499683347e-001
5.011872336273e+003	8.453201602109e-001
6.309573444802e+003	8.462148029634e-001
7.943282347243e+003	8.476104302103e-001
1.000000000000e+004	8.497680911753e-001
1.258925411794e+004	8.530579417374e-001
1.584893192461e+004	8.579696129136e-001
1.995262314969e+004	8.650771868271e-001
2.511886431510e+004	8.749116677485e-001
3.162277660168e+004	8.877090825508e-001
3.981071705535e+004	9.030966414305e-001
5.011872336273e+004	9.199357587796e-001
6.309573444802e+004	9.365672849843e-001
7.943282347243e+004	9.514101831398e-001
1.000000000000e+005	9.635040365223e-001
1.258925411794e+005	9.726468366615e-001
1.584893192461e+005	9.791742363018e-001
1.995262314969e+005	9.836461028521e-001
2.511886431510e+005	9.866237504986e-001
3.162277660168e+005	9.885690183061e-001
3.981071705535e+005	9.898240551258e-001
5.011872336273e+005	9.906272513954e-001
6.309573444802e+005	9.911386213675e-001
7.943282347243e+005	9.914631198855e-001
1.000000000000e+006	9.916686029553e-001
---- End Trace: 1 "V(5)"

---- Trace: 2 LEFT BOTTOM "V(6)"
1.000000000000e+003	1.855705941911e+001
1.258925411794e+003	1.855495466184e+001
1.584893192461e+003	1.855162031287e+001
1.995262314969e+003	1.854633940603e+001
2.511886431510e+003	1.853797896271e+001
3.162277660168e+003	1.852475168178e+001
3.981071705535e+003	1.850384572940e+001
5.011872336273e+003	1.847085652722e+001
6.309573444802e+003	1.841893168185e+001
7.943282347243e+003	1.833752592186e+001
1.000000000000e+004	1.821068876849e+001
1.258925411794e+004	1.801494805357e+001
1.584893192461e+004	1.771724909654e+001
1.995262314969e+004	1.727424605778e+001
2.511886431510e+004	1.663550616795e+001
3.162277660168e+004	1.575399542952e+001
3.981071705535e+004	1.460510104608e+001
5.011872336273e+004	1.320804326445e+001
6.309573444802e+004	1.163487217708e+001
7.943282347243e+004	9.994990555309e+000
1.000000000000e+005	8.401579150689e+000
1.258925411794e+005	6.941201803500e+000
1.584893192461e+005	5.661636041611e+000
1.995262314969e+005	4.576457902262e+000
2.511886431510e+005	3.676690751913e+000
3.162277660168e+005	2.941879992063e+000
3.981071705535e+005	2.347729588644e+000
5.011872336273e+005	1.870401408265e+000
6.309573444802e+005	1.488508790420e+000
7.943282347243e+005	1.183775707769e+000
1.000000000000e+006	9.410199349839e-001
---- End Trace: 2 "V(6)"
---- End Graph: AC Sweep

---- Graph: 
---- Left Axis: LINEAR "Phase (deg)"
---- Bottom Axis: LOGARITHMIC "Frequency (Hz)"
---- Trace: 1 LEFT BOTTOM "V(5)"
1.000000000000e+003	1.982255853610e-001
1.258925411794e+003	2.494841010316e-001
1.584893192461e+003	3.139480352416e-001
1.995262314969e+003	3.949704113535e-001
2.511886431510e+003	4.967069906469e-001
3.162277660168e+003	6.242599236497e-001
3.981071705535e+003	7.837967026463e-001
5.011872336273e+003	9.825806405676e-001
6.309573444802e+003	1.228784203600e+000
7.943282347243e+003	1.530843984727e+000
1.000000000000e+004	1.895944644579e+000
1.258925411794e+004	2.327024551322e+000
1.584893192461e+004	2.817667884720e+000
1.995262314969e+004	3.344907529227e+000
2.511886431510e+004	3.862164868105e+000
3.162277660168e+004	4.298453708597e+000
3.981071705535e+004	4.572249625552e+000
5.011872336273e+004	4.621515709058e+000
6.309573444802e+004	4.434163610669e+000
7.943282347243e+004	4.054648937564e+000
1.000000000000e+005	3.560749541091e+000
1.258925411794e+005	3.030469234675e+000
1.584893192461e+005	2.520906532777e+000
1.995262314969e+005	2.063981944138e+000
2.511886431510e+005	1.671917687550e+000
3.162277660168e+005	1.344842371751e+000
3.981071705535e+005	1.076834850309e+000
5.011872336273e+005	8.597179249291e-001
6.309573444802e+005	6.850953563454e-001
7.943282347243e+005	5.452910291380e-001
1.000000000000e+006	4.336851330702e-001
---- End Trace: 1 "V(5)"

---- Trace: 2 LEFT BOTTOM "V(6)"
1.000000000000e+003	1.788711130081e+002
1.258925411794e+003	1.785789229148e+002
1.584893192461e+003	1.782111842329e+002
1.995262314969e+003	1.777484416954e+002
2.511886431510e+003	1.771663079006e+002
3.162277660168e+003	1.764342903295e+002
3.981071705535e+003	1.755144166050e+002
5.011872336273e+003	1.743597037661e+002
6.309573444802e+003	1.729126194461e+002
7.943282347243e+003	1.711038862539e+002
1.000000000000e+004	1.688523565783e+002
1.258925411794e+004	1.660673147665e+002
1.584893192461e+004	1.626554540886e+002
1.995262314969e+004	1.585356050494e+002
2.511886431510e+004	1.536639092122e+002
3.162277660168e+004	1.480682037844e+002
3.981071705535e+004	1.418808869088e+002
5.011872336273e+004	1.353482741365e+002
6.309573444802e+004	1.287956853669e+002
7.943282347243e+004	1.225530291421e+002
1.000000000000e+005	1.168778690781e+002
1.258925411794e+005	1.119152097839e+002
1.584893192461e+005	1.077026932990e+002
1.995262314969e+005	1.042020708781e+002
2.511886431510e+005	1.013341437226e+002
3.162277660168e+005	9.900510562995e+001
3.981071705535e+005	9.712227921486e+001
5.011872336273e+005	9.560172755354e+001
6.309573444802e+005	9.437086434109e+001
7.943282347243e+005	9.336841241565e+001
1.000000000000e+006	9.254314978467e+001
